address,eth_wei
0xc1bc60a9d3ef81310f91f173316c3ffd97199e0e,0
0x19f6a97674a4a6771ef67d8eef18c35e702ad4ec,0
0x96bedc81e9cda5bcf659448b754c24e1654cd13b,0
0xc691e71f099465b1fd5e6c993e925c47a94f0357,0
0x7f4e7c79977038666993ef253a182d9ee7af259a,0
0x292020f9574cae168137e2ab2eff10ce19021564,0
0x70ddccb2fa01a525d5654d609eaf23f968454625,0
0xfe2110dc885b98ffec1337001cba14e4a26e853e,0
0xe93360ce6ebad3f577b9e0102a42fd3f719663b5,0
0x778b2875e598123793f5056cd693171f383a0fe8,0
0xdd47ba8940f3e52b55f33061fc495c9a6611dc22,0
0xad529d1c32d70484d73f82e8365d7e2469b34678,0
0x069ec08ec584f38e2ec7673cc8259fa1c6781e66,0
0x699e791bdb15cc112e4d765c0ea1f68288156a6b,0
0xba8d8a193de8fc8d24c6c8a961921c5840a526b5,0
0x6b3f0925dcf2be2fae2ce2fb865afe7a578cd693,0
0x78fe178d517d1aa79a3e7a7d4d3e97526a039bcd,0
0xadfd9321058b88e25cc3e678bc11cd07917c9ac2,0
0xdba222e8592b42beb4a7779920536a94fab745a2,0
0x123d4af83ef239abd472037e7ce4416190f55e18,0
0x03319412e21314cc543b108d58a1fb872e9ec83b,0
0x3d7e0c23f276558274682e15d96f2b961ea3e041,0
0x125a279396d4c654c7d46c36eb121d7e3ea7ebf5,0
0x5940568810594ea69aada75fb95eb7371c172de4,0
0x1b08807d589acd2940e47ddf9df0534074811802,0
0x51a1e1ced3485718fa0e46eadc1ae60852676492,0
0x8a5094859eee871070bfd79e6ef67c1fee4f5bb2,0
0x3b5c49ec79e491118ce2a7474588908593c9af54,0
0x7499cd4fba26e801bd21a5422204e615f2cbec44,0
0x4a5e7517663a1b7a5e4eb7d0631da1d4a0e6495d,0
0xd71adca6361f4d13504b78cc6bca8a0bada1a305,0
0x959e29361be0aa2fd1d8c686a572c4e471194589,0
0x022086b2fceebcc3113b82d47603ea96203b6e9a,0
0xb239356bfd3eeee1bebf865ab65e8d2119adf0e6,0
0x620190e812149588b7f814be5e70d9bb39b6b493,0
0x889bb7f0521d7631857f996937c180b3fff045c6,0
0x40eccd0d0f5cc9c9d52063f5cde5b2e88cdb39ef,0
0x06b8905387a2daccd14344bcdd85e1d95bafd208,0
0x5103e37722f89c817c629f14522c9ce144084f37,0
0x7897fbe03b7fe21e428ad19ccb22dc2279f6c86f,0
0xbf8a372b09081dce9a92f3dd8c8115c09c92fd0d,0
0x0c172aa8ebace166eb52c99fe57607c0c4b42d2d,0
0x8e1610bf7b62e06f6be417cd93ca20293397196f,0
0x3c21658cf4125ee3d02df5a7c9f324e37d3e89d6,0
0x2f4cbcc74e46b5e19273730add23ba2d3ad95432,0
0x5782444881bbc11b32ca56eb958ab6d0b8af18fe,0
0x33b8babf56c0ef75176fdccdd4324e03d8cd4a52,0
0xe17f4c5adb2ac7eada664ae8059eeab008cf265b,0
0xf3f6c0f003ab3690a552e0985b5c831d4dd3c58e,0
0xd315ed9a45fbd46ce167c1d2f20f438f1aa0be1f,0
0xa3636437f6c044bf3f0ee9326a0456112852336b,0
0xedbbf077a7458846d0cf3c4a752d62a07caf61f7,0
0xcfc421b6fe2147f1a80cefb0a57193ee7ae9eaae,0
0x21eaca2cfafe2aa34edcf3104ed09ddd48efd01f,0
0xae5254638656c074d75f72c8ae3e741736b44ed3,0
0x83aa38ec079e1b1882d67cbe5eef783c319c211b,0
0x38a4adaf5c02f9299c2a0a4a1cb18d1e865b745c,0
0x819f1d4f986cf9708b482eff7d9d99b93cce9cd5,0
0xedcacea43493687a0041a1535e205134f27e5ec9,0
0x1db4faa4dc92a6e6c36305e902828e6466b7b0d8,0
0xc256467978b3ef3c3be47a047f7be1fb6a8108a9,0
0xe95a2684c212498916c44614e3001590dfc4c605,0
0x3f7912c4354dae2e7af968506ed9229ac97cbcf0,0
0xfe288f366f3c302d22e0942ff3839ae5a36c9ec1,0
0x29d1c997927a8cb6ea6999a1c5e74c6d63972531,0
0x1cbeff96632549e0ef6bc61bc6e09a136eacac86,0
0x8b575a43af27c322ce1b62cafb9c2feeab58ee4a,0
0xc57f678e92b3bd5b8fcbaab57bb185487b1c8a27,0
0xb1337cf6e43a03d052dfb33515df7fa475333733,0
0x5e5cfce4009994987567da96dd6578f5acc6eb62,0
0x954d29d3e4a324d4d818b2347ac7da890801317b,0
0x1b64282289b6dfe5348f1352cc67d8dc565f8902,0
0x641e5bac31b384835a9cdafd3d289349a6f86d94,0
0x66e9c2a47c2e522062af51852e265b55824da91d,0
0x8cb85b45233dad2f7d8f3f8497a648734f8e7197,0
0x1dbdd492e7263e44bb3389620191727d2ff22af6,0
0x9def9b4f57ee8469f6ec22530e46ebdf47f60896,0
0xfde297a4015e4f5aff57cb64142d74d935b629f4,0
0xc7fda587d4814456f121e927f77718d6178afd66,0
0xd6ac3562b7e9e76aeccc5e24bf08d21add46da3d,0
0xf7e5bb30f24c56d29a6eea107d9aef0cb7929787,0
0x83ccbabbdff42a7ed02eb92b426a4a1d8109d4e7,0
0x9f2ebb7d7400d0228db4811e742492c1ed3fc414,0
0x88dd0e20b7fcee33716348ae608802b2ad49d4a1,0
0x4cae2235383a656716307c3a2cf9930990342323,0
0x16f071521ad51162c334f39e9a568625aa963467,0
0x0efae405eff5f52c8b196d21244d26d6f2c0e456,0
0x9157dfe317e7cb04ef063228c32b91e1e0c080de,0
0x21d786e52aa1631fffc9aaf63b68746352adad07,0
0x022703bc45a48a35f7bd845de8424681d86f4eea,0
0xb39a16b2a5d020925ae2e946b9f1f3caf96972f8,0
0x54da31a1208ac5f83c49b9951262fdcfac7fb048,0
0x28d5f9a9f99b34bc7ce5f0032bdbaca3f9d89ce7,0
0xf7e54260a02c9a30a1fd7263a3da93cbe51d4ae5,0
0xd9c9c8e2968ed6f1f32137916e8fdc8ae043aabf,0
0x3664e707e7bcd31e1284600d1482a9e00f1611ba,0
0x8c07eabe50f9e849cedf2fa8a64cc1633c0b5e5e,0
0x631f0f2a90f58c6769d558a2c359972b2bb22af7,0
0xbdeffd0554d9c7326dba6fdd21160631bc318d63,0
0x7d47f8dc68b240fd326ada4c6d7d3df93fc35672,0
0x5aca52bc21f82adefdd9e0567a01510926e16ffe,0
0xaf0383a31bbe2123f4ad4b0f38b2d37b048eef31,0
0x73d17c343cdc7b620d96be54ba00de65963b13a4,0
0x76d7b6fc1be21ea4cefefc86a10e22d320bf70ad,0
0xd877208a6d675655729c664718146413cd1b8dd1,0
0xe9a90198918bf9dae02cf471a4f95ca08cdf4f46,0
0x65dcebe7063631c0d3ad63ffe06e3a03afbaf8e8,0
0x18a4a4f0223740ac8c0bce2a3538d370583f6eeb,0
0xc88e6108d0df48deb1bf74861b79d243003123df,0
0x8b1672cda89f70e30441aa16ef6806d923b304be,0
0xe276dbf382ae446647f65005165b504d2f013b15,0
0xd4ef6a3a26593d3570d6222d9d0ce852a5a53fe7,0
0x7ae8c9ad0afb115f883fa2bc54914cb3ca7dfa37,0
0x9255dee86ec9a5b6cd57b64006b81d883b839677,0
0x24d6ae8fbf4784d2620dfd9632eca3e6452499ce,0
0xe66065bcdcb009be540f46661fd036473e67b649,0
0xbd110d4f05d28037cb7292e8ab765755a4309bf3,0
0x2d576e4ae9504ec59142ea126b83a09714eff61d,0
0xcacba603a0e2d3ecb25cbd0ca876b2dfb7ac2237,0
0x990c5988f136890244413e2f16a4a4be41306c12,0
0x9ba8854bf83f10a4400e0c801b81a7d654a0ff9f,0
0x492e628add5206447a297b9fabc0af3503e77b9a,0
0x2d735ce41fa2cb4eba1cb833870dbd0e846fce44,0
0x067a183f90834dba724626dc55c46c17d5e1e79c,0
0x709cd02034e8a03e635349a7d3d678df026a906f,0
0xda64eb235df339a9efb7a1d0c9998205c2e6c12a,0
